seed,system,step,corrections,buffer_size,init_secs,pred_secs,correct_secs,acc_novel,acc_original
0,bounded_substrate_reservoir_5000,500,154,5000,0.0065,2.5062,0.1016,0.845,0.9425
0,bounded_substrate_reservoir_5000,550,157,5000,0.0065,2.5667,0.1036,0.845,0.9425
0,bounded_substrate_reservoir_5000,600,164,5000,0.0065,2.6923,0.1076,0.8475,0.9425
0,bounded_substrate_reservoir_5000,650,172,5000,0.0065,2.8358,0.1121,0.85,0.9425
0,bounded_substrate_reservoir_5000,700,179,5000,0.0065,2.9894,0.1176,0.85,0.9425
0,bounded_substrate_reservoir_5000,750,183,5000,0.0065,3.0899,0.1191,0.8525,0.9425
0,bounded_substrate_reservoir_5000,800,188,5000,0.0065,3.2004,0.1226,0.8575,0.9425
0,bounded_substrate_reservoir_5000,850,189,5000,0.0065,3.2319,0.1236,0.8575,0.9425
0,bounded_substrate_reservoir_5000,900,197,5000,0.0065,3.3955,0.13,0.87,0.9425
0,bounded_substrate_reservoir_5000,950,203,5000,0.0065,3.506,0.1341,0.8775,0.9425
0,bounded_substrate_reservoir_5000,1000,209,5000,0.0065,3.6305,0.1381,0.8775,0.9425
0,bounded_substrate_reservoir_5000,1050,216,5000,0.0065,3.7745,0.1426,0.8825,0.9425
0,bounded_substrate_reservoir_5000,1100,218,5000,0.0065,3.827,0.1436,0.8825,0.9425
0,bounded_substrate_reservoir_5000,1150,222,5000,0.0065,3.9191,0.1461,0.8825,0.9425
0,bounded_substrate_reservoir_5000,1195,230,5000,0.0065,4.071,0.1522,0.8825,0.9425
0,bounded_substrate_fifo_5000,0,0,5000,0.0075,0.0,0.0,0.0,0.58
0,bounded_substrate_fifo_5000,50,28,5000,0.0075,0.5021,0.0205,0.5825,0.5725
0,bounded_substrate_fifo_5000,100,45,5000,0.0075,0.8227,0.032,0.755,0.57
0,bounded_substrate_fifo_5000,150,54,5000,0.0075,0.9886,0.037,0.7925,0.57
0,bounded_substrate_fifo_5000,200,64,5000,0.0075,1.1861,0.044,0.83,0.57
0,bounded_substrate_fifo_5000,250,71,5000,0.0075,1.3097,0.049,0.8775,0.57
0,bounded_substrate_fifo_5000,300,79,5000,0.0075,1.4482,0.054,0.8925,0.57
0,bounded_substrate_fifo_5000,350,82,5000,0.0075,1.5127,0.056,0.8925,0.57
0,bounded_substrate_fifo_5000,400,91,5000,0.0075,1.6943,0.063,0.8975,0.57
0,bounded_substrate_fifo_5000,450,92,5000,0.0075,1.7243,0.0635,0.9,0.57
0,bounded_substrate_fifo_5000,500,97,5000,0.0075,1.8052,0.066,0.9075,0.5675
0,bounded_substrate_fifo_5000,550,99,5000,0.0075,1.8487,0.067,0.9075,0.5675
0,bounded_substrate_fifo_5000,600,104,5000,0.0075,1.9437,0.0705,0.9125,0.5675
